作法,さほう,N3,n,"""manners"""
左右,さゆう,N3,n,"""left and right"""
皿,さら,N3,n,"""plate"""
猿,さる,N3,n,"""monkey (esp. the Japanese macaque"
騒ぎ,さわぎ,N3,n,"""uproar"""
参加,さんか,N3,n,"""participation"""
参考,さんこう,N3,n,"""reference"""
賛成,さんせい,N3,n,"""approval"""
酸性,さんせい,N3,n,"""acidity"""
酸素,さんそ,N3,n,"""oxygen (O)"""
詩,し,N3,n,"""poem"""
幸せ,しあわせ,N3,n,"""happiness"""
ジーンズ,ジーンズ,N3,n,"""jeans"""
ジェット機,ジェットき,N3,n,"""jet aeroplane"""
四季,しき,N3,n,"""the four seasons"""
時期,じき,N3,n,"""time"""
支給,しきゅう,N3,n,"""provision"""
刺激,しげき,N3,n,"""stimulus"""
資源,しげん,N3,n,"""resources"""
事件,じけん,N3,n,"""event"""
時刻,じこく,N3,n,"""time"""
自殺,じさつ,N3,n,"""suicide"""
支出,ししゅつ,N3,n,"""expenditure"""
事情,じじょう,N3,n,"""circumstances"""
詩人,しじん,N3,n,"""poet"""
自身,じしん,N3,n,"""(one's) self"""
自然,しぜん,N3,n,"""nature"""
思想,しそう,N3,n,"""thought"""
舌,した,N3,n,"""tongue"""
質,しつ,N3,n,"""quality"""
失業,しつぎょう,N3,n,"""unemployment"""
湿気,しっけ,N3,n,"""moisture"""
実験,じっけん,N3,n,"""experiment"""
実現,じつげん,N3,n,"""implementation (e.g. of a system)"""
実行,じっこう,N3,n,"""execution (e.g. of a plan)"""
実際,じっさい,N3,n,"""reality"""
実施,じっし,N3,n,"""enforcement"""
湿度,しつど,N3,n,"""humidity"""
失望,しつぼう,N3,n,"""disappointment"""
実力,じつりょく,N3,n,"""(real) ability"""
支店,してん,N3,n,"""branch office"""
指導,しどう,N3,n,"""guidance"""
児童,じどう,N3,n,"""children"""
品,しな,N3,n,"""article"""
支配,しはい,N3,n,"""rule"""
芝居,しばい,N3,n,"""play"""
芝生,しばふ,N3,n,"""lawn"""
支払,しはらい,N3,n,"""payment"""
死亡,しぼう,N3,n,"""death"""
資本,しほん,N3,n,"""funds"""
